;foto;localizacao;nome
169;./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAA1PAAAAJGI3YTM0ZGI2LTI4ODItNGY1OS04Y2VkLWZkYWJiOTBiZmVmOA.jpg;Guarulhos/SP;Juily Manghirmalani
170;./Mulheres Palestrantes_files/fb39d8165fcc2edf3375d0eba8b0d6ff.jpeg;São Paulo/SP;Júlia Albuquerque
171;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjwAAAAJDkzYmFkMTU3LTYwNjUtNDFlOC04NWVhLTRiMDZjZTU0ZTlkZg.jpg;Maceió/AL;Julia Stateri
172;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjqAAAAJGNkYjM1YTgzLTYxMzItNDkyMC1iNGUxLWJjMjBiYzg0YmNlMA.jpg;Campinas/SP;Juliana de Bittencourt Escobar
173;./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAA6zAAAAJGRjMGVhYmE3LTQ5ZTgtNGU3Yy04NTJkLTQ5NTU2NjJlNDllOA.jpg;Porto Alegre/RS;Juliana Carvalho
174;./Mulheres Palestrantes_files/placeholder-female.jpg;João Pessoa/PB;Juliana Chahoud
175;./Mulheres Palestrantes_files/3291727;São Paulo/SP;Juliana Félix Nunes
176;./Mulheres Palestrantes_files/037d35f865f95571c3194b4c84a4915b.jpeg;Goiânia/GO;Juliana Fernandes
177;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Juliana Fernandes
178;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAviAAAAJGFhMzc0MDFiLWZjNTAtNDE1YS1hZGE2LWYxMjU3MTRkZWJmMg.jpg;São Paulo/SP;Juliana Guerra
179;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAd8AAAAJDc0MTdjYWJjLWQxYTMtNGQ1NS1hNDQxLWIwZjAxNmZmZjhmMA.jpg;São Paulo/SP;Juliana Hercowitz
180;./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAxxAAAAJDc0NTMyMGNmLWI3MGUtNGRlOC05ZGEwLWI1MGYzMjkzODkwOQ.jpg;São Paulo/SP;Juliana Wallauer
181;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAl0AAAAJDM1OWFmZTI2LTM0OTQtNDMwMy1hN2Q2LTUyODgzNjg5YTNhZg.jpg;São Paulo/SP;Juliene Alves
182;./Mulheres Palestrantes_files/APVpL4L6_400x400.jpg;Recife/PE;Julyane Miranda
183;./Mulheres Palestrantes_files/ad74bd0e6c00310471c4761e1ec73f5d;Rio de Janeiro/RJ;Karen Figueiredo
184;./Mulheres Palestrantes_files/5774b104265c725d9ea7e65b5411a2c2.jpeg;Cuiabá/MT;Karina Girardi Roggia
